"Variable","Sector","Total Impact","Impact (%)","Relative Share (%)"
"Total Gross Income Tax Division","personal_labor_income_taxes","0.018969","+1.8969%","12.31%"
"madad_pedio","real_activity","-0.017482","-1.7482%","11.34%"
"Deductions and the capital market","personal_labor_income_taxes","0.014946","+1.4946%","9.70%"
"Deduction from salary","personal_labor_income_taxes","0.012840","+1.2840%","8.33%"
"madad_cc_purchases_sa","real_activity","-0.012812","-1.2812%","8.31%"
"madad meshulav","real_activity","-0.009544","-0.9544%","6.19%"
"Independents advances","personal_labor_income_taxes","0.005246","+0.5246%","3.40%"
"TA125","capital_markets","-0.004691","-0.4691%","3.04%"
"TA35","capital_markets","-0.004397","-0.4397%","2.85%"
"sp500","capital_markets","-0.004389","-0.4389%","2.85%"
"salaried jobs","labor","-0.004042","-0.4042%","2.62%"
"Income tax for self-employed individuals and companies (advances and deductions)","corporate_business_tax","0.004029","+0.4029%","2.61%"
"Nasdaq","capital_markets","-0.003711","-0.3711%","2.41%"
"Companies advances","corporate_business_tax","0.003692","+0.3692%","2.39%"
"madad_yetzur_industrial","real_activity","-0.003235","-0.3235%","2.10%"
"Real estate purchase tax","real_estate","0.003206","+0.3206%","2.08%"
"Real estate taxation","real_estate","0.003063","+0.3063%","1.99%"
"VAT Financial Institutions (Salary)","personal_labor_income_taxes","0.003010","+0.3010%","1.95%"
"Non-profit institution tax","personal_labor_income_taxes","0.002401","+0.2401%","1.56%"
"praise tax","real_estate","0.002290","+0.2290%","1.49%"
"Gross fuel tax","consumption_tax","-0.002242","-0.2242%","1.45%"
"Oil","real_activity","-0.001653","-0.1653%","1.07%"
"excess expenses","corporate_business_tax","0.001570","+0.1570%","1.02%"
"Dollar","FX_liqudity","-0.001368","-0.1368%","0.89%"
"Gross local VAT","consumption_tax","0.001222","+0.1222%","0.79%"
"tax differential companies","corporate_business_tax","0.000953","+0.0953%","0.62%"
"VAT refund autonomy and traders","consumption_tax","0.000899","+0.0899%","0.58%"
"Total net VAT","consumption_tax","0.000841","+0.0841%","0.55%"
"Total refunds from the Income Tax Department","personal_labor_income_taxes","-0.000790","-0.0790%","0.51%"
"Bonds and dividends","corporate_business_tax","0.000747","+0.0747%","0.48%"
"real salary","labor","-0.000739","-0.0739%","0.48%"
"Gross import VAT","import_trade_tax","0.000478","+0.0478%","0.31%"
"Self-employed tax differences","personal_labor_income_taxes","-0.000420","-0.0420%","0.27%"
"Net customs","import_trade_tax","-0.000350","-0.0350%","0.23%"
"Total import taxes","import_trade_tax","-0.000347","-0.0347%","0.22%"
"Apartments sold at an annual rate","real_estate","0.000323","+0.0323%","0.21%"
"madad_hadash","real_activity","0.000283","+0.0283%","0.18%"
"employment rate","labor","-0.000217","-0.0217%","0.14%"
"Foreign exchange reserves (millions of dollars)","FX_liqudity","0.000163","+0.0163%","0.11%"
"Net local sales tax","consumption_tax","-0.000111","-0.0111%","0.07%"
"cons_trust","real_activity","-0.000081","-0.0081%","0.05%"
"purchase returns","real_estate","-0.000080","-0.0080%","0.05%"
"Cancellations Deductions","corporate_business_tax","0.000059","+0.0059%","0.04%"
"Apartment Price Index (1993=100) - Mid-period reviewed","real_estate","0.000050","+0.0050%","0.03%"
"Cancellation companies","corporate_business_tax","-0.000043","-0.0043%","0.03%"
"unemployment rate","labor","0.000042","+0.0042%","0.03%"
"Property tax","real_estate","-0.000036","-0.0036%","0.02%"
"Goods and services","corporate_business_tax","0.000024","+0.0024%","0.02%"
"Reer","FX_liqudity","0.000015","+0.0015%","0.01%"
"Capital Gains Tax Refunds","personal_labor_income_taxes","0.000014","+0.0014%","0.01%"
"Independent Cancellations","personal_labor_income_taxes","-0.000002","-0.0002%","0.00%"
